Jahr;Stadtteil zus.;Stadtbezirk mit zugeordneten Ortschaften;Stadtraum;AltK_05D__-24-44-59-64-;Geschlecht;Anzahl Einwohner
2020;21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;60 - 64 Jahre;männlich;90
2020;21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;60 - 64 Jahre;weiblich;110
2020;21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;65 Jahre u.älter;männlich;138
2020;21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;65 Jahre u.älter;weiblich;264
2020;22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;bis 24 Jahre;männlich;176
2020;22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;bis 24 Jahre;weiblich;177
2020;22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;25 - 44 Jahre;männlich;1044
2020;22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;25 - 44 Jahre;weiblich;551
2020;22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;45 - 59 Jahre;männlich;538
2020;22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;45 - 59 Jahre;weiblich;341
2020;22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;60 - 64 Jahre;männlich;133
2020;22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;60 - 64 Jahre;weiblich;149
2020;22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;65 Jahre u.älter;männlich;240
2020;22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;65 Jahre u.älter;weiblich;618
2020;23 Kaditz;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;bis 24 Jahre;männlich;59
2020;23 Kaditz;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;bis 24 Jahre;weiblich;70
2020;23 Kaditz;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;25 - 44 Jahre;männlich;343
2020;23 Kaditz;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;25 - 44 Jahre;weiblich;188
2020;23 Kaditz;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;45 - 59 Jahre;männlich;237
2020;23 Kaditz;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;45 - 59 Jahre;weiblich;162
2020;23 Kaditz;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;60 - 64 Jahre;männlich;52
2020;23 Kaditz;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;60 - 64 Jahre;weiblich;69
2020;23 Kaditz;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;65 Jahre u.älter;männlich;125
2020;23 Kaditz;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;65 Jahre u.älter;weiblich;288
2020;24 Trachau;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;bis 24 Jahre;männlich;77
2020;24 Trachau;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;bis 24 Jahre;weiblich;77
2020;24 Trachau;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;25 - 44 Jahre;männlich;476
2020;24 Trachau;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;25 - 44 Jahre;weiblich;233
2020;24 Trachau;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;45 - 59 Jahre;männlich;377
2020;24 Trachau;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;45 - 59 Jahre;weiblich;267
2020;24 Trachau;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;60 - 64 Jahre;männlich;86
2020;24 Trachau;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;60 - 64 Jahre;weiblich;86
2020;24 Trachau;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;65 Jahre u.älter;männlich;239
2020;24 Trachau;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;65 Jahre u.älter;weiblich;592
2020;25 Pieschen-N/Trachenberge;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;bis 24 Jahre;männlich;244
2020;25 Pieschen-N/Trachenberge;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;bis 24 Jahre;weiblich;225
2020;25 Pieschen-N/Trachenberge;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;25 - 44 Jahre;männlich;1153
2020;25 Pieschen-N/Trachenberge;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;25 - 44 Jahre;weiblich;598
2020;25 Pieschen-N/Trachenberge;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;45 - 59 Jahre;männlich;509
2020;25 Pieschen-N/Trachenberge;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;45 - 59 Jahre;weiblich;301
2020;25 Pieschen-N/Trachenberge;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;60 - 64 Jahre;männlich;126
2020;25 Pieschen-N/Trachenberge;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;60 - 64 Jahre;weiblich;107
2020;25 Pieschen-N/Trachenberge;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;65 Jahre u.älter;männlich;228
2020;25 Pieschen-N/Trachenberge;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;65 Jahre u.älter;weiblich;543
2020;31 Klotzsche;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;bis 24 Jahre;männlich;141
2020;31 Klotzsche;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;bis 24 Jahre;weiblich;99
2020;31 Klotzsche;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;25 - 44 Jahre;männlich;630
2020;31 Klotzsche;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;25 - 44 Jahre;weiblich;265
2020;31 Klotzsche;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;45 - 59 Jahre;männlich;454
2020;31 Klotzsche;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;45 - 59 Jahre;weiblich;339
2020;31 Klotzsche;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;60 - 64 Jahre;männlich;142
2020;31 Klotzsche;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;60 - 64 Jahre;weiblich;125
2020;31 Klotzsche;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;65 Jahre u.älter;männlich;355
2020;31 Klotzsche;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;65 Jahre u.älter;weiblich;868
2020;32 Hellerau/Wilschdorf;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;bis 24 Jahre;männlich;23
2020;32 Hellerau/Wilschdorf;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;bis 24 Jahre;weiblich;20
2020;32 Hellerau/Wilschdorf;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;25 - 44 Jahre;männlich;118
2020;32 Hellerau/Wilschdorf;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;25 - 44 Jahre;weiblich;58
