Jahr;Monat;Flugzeugbewegungen - gesamt;Flugzeugbewegungen - Gew. Verkehr - gesamt;Flugzeugbewegungen - Gew. Verkehr - Landungen;Flugzeugbewegungen - Gew. Verkehr - Starts;Flugzeugbewegungen - Gew. Verkehr - MTOW (in t);Flugzeugbewegungen - Gew. Verkehr - Passagierflüge;Flugzeugbewegungen - Gew. Verkehr - Passagierflüge, dar. Linie/Touristik;Flugzeugbewegungen - Gew. Verkehr - Fracht und Postflüge;Flugzeugbewegungen - Gew. Verkehr - Übriger gewerblicher Verkehr (bis einschl. 2013);Flugzeugbewegungen - Nichtgew. Verkehr - gesamt;Flugzeugbewegungen - Nichtgew. Verkehr - Werkverkehr;Flugzeugbewegungen - Nichtgew. Verkehr - Übriger nichtgewerbl. Verkehr;Fluggäste - gesamt;Fluggäste - Gew. Verkehr - gesamt;Fluggäste - Gew. Verkehr - Lokalaufkommen;Fluggäste - Gew. Verkehr - Lokalaufkommen, dav. Aussteiger;Fluggäste - Gew. Verkehr - Lokalaufkommen, dav. Einsteiger;Fluggäste - Gew. Verkehr - Transitaufkommen;Fluggäste - Gew. Verkehr - Aufkommen Inland;Fluggäste - Gew. Verkehr - Aufkommen Ausland;Fluggäste - Nichtgew. Verkehr - gesamt;Luftfracht/Luftpost - gesamt (in t) (ab 2016);Luftfracht - gesamt (in t);Luftfracht - Umschlag (an + ab) (in t);Luftfracht - Umschlag (an + ab), dav. Ausladungen (in t);Luftfracht - Umschlag (an + ab), dav. Einladungen (in t);Luftfracht - Durchgang (Transit) (in t);Luftpost - gesamt (in t) (ab 2008);Verkehrseinheiten (VE)
2013;04;2429;1731;867;864;43106;1591;1591;0;140;698;204;494;138377;138010;137479;69055;68424;531;93635;43844;367;-;7,9;7,9;3;4,9;0;0;137558
2013;05;2651;1944;968;976;49523;1770;1769;1;174;707;165;542;163987;163600;160491;78151;82340;3109;92311;68180;387;-;15,4;13,1;7,5;5,6;2,3;0,1;160622
2013;06;2957;2023;1013;1010;50211;1828;1827;1;195;934;304;630;171743;171325;169843;83782;86061;1482;92468;77375;418;-;17;17;11,1;5,9;0;0;170013
2013;07;3118;2151;1074;1077;53248;1881;1881;0;270;967;182;785;172786;172264;171418;84525;86893;846;89294;82124;522;-;8,1;8;3,1;4,9;0,1;0,2;171500
2013;08;2910;1959;983;976;49521;1732;1731;1;227;951;160;791;164546;164168;163467;83236;80231;701;76701;86766;378;-;25,2;24,7;20,3;4,5;0,5;0,5;163714
2013;09;2685;2026;1015;1011;54496;1866;1862;4;160;659;167;492;191912;191572;191005;94295;96710;567;101101;89904;340;-;25,1;25,1;14,5;10,6;0;0;191256
2013;10;2739;2137;1075;1062;54012;1857;1857;0;280;602;153;449;184741;184470;184050;95856;88194;420;99548;84502;271;-;11;11;5,7;5,3;0;0;184160
2013;11;2021;1636;823;813;40545;1504;1502;2;132;385;158;227;125006;124818;124222;65860;58362;596;91215;33007;188;-;24,6;24,6;14,6;10;0;0;124468
2013;12;1789;1388;699;689;34785;1295;1289;6;93;401;137;264;107267;107002;106596;54029;52567;406;83944;22652;265;-;13;12,7;7;5,7;0,3;0;106723
2014;01;1684;1365;684;681;33640;1365;1246;0;-;319;105;214;91320;91214;91059;44259;46800;155;69572;21487;106;-;14,2;14,2;10;4,2;0;0;91202
