Jahr;Stadtraum;Staatsangehörigkeit-1 Deutsche / Ausländer;Wohndauer in 6 Klassen;Wohndauer in Monaten;Anzahl Einwohner
1999;17 Briesnitz und westliche OS;Deutsche;00 bis unter 1 Jahr;12450;2616
1999;17 Briesnitz und westliche OS;Deutsche;01 bis unter 3 Jahre;106299;4703
1999;17 Briesnitz und westliche OS;Deutsche;03 bis unter 5 Jahre;118018;2621
1999;17 Briesnitz und westliche OS;Deutsche;05 bis unter 10 Jahre;239880;2814
1999;17 Briesnitz und westliche OS;Deutsche;10 bis unter 20 Jahre;513922;2925
1999;17 Briesnitz und westliche OS;Deutsche;20 Jahre und mehr;1976537;4562
1999;17 Briesnitz und westliche OS;Ausländer;00 bis unter 1 Jahr;492;110
1999;17 Briesnitz und westliche OS;Ausländer;01 bis unter 3 Jahre;1750;81
1999;17 Briesnitz und westliche OS;Ausländer;03 bis unter 5 Jahre;1007;23
1999;17 Briesnitz und westliche OS;Ausländer;05 bis unter 10 Jahre;2129;26
1999;17 Briesnitz und westliche OS;Ausländer;10 bis unter 20 Jahre;939;6
1999;17 Briesnitz und westliche OS;Ausländer;20 Jahre und mehr;660;2
2000;01 StB Altstadt ohne Johannstadt;Deutsche;00 bis unter 1 Jahr;14484;2921
2000;01 StB Altstadt ohne Johannstadt;Deutsche;01 bis unter 3 Jahre;113601;4846
2000;01 StB Altstadt ohne Johannstadt;Deutsche;03 bis unter 5 Jahre;118708;2612
2000;01 StB Altstadt ohne Johannstadt;Deutsche;05 bis unter 10 Jahre;230076;2726
2000;01 StB Altstadt ohne Johannstadt;Deutsche;10 bis unter 20 Jahre;579742;3509
2000;01 StB Altstadt ohne Johannstadt;Deutsche;20 Jahre und mehr;3441668;8220
2000;01 StB Altstadt ohne Johannstadt;Ausländer;00 bis unter 1 Jahr;3650;744
2000;01 StB Altstadt ohne Johannstadt;Ausländer;01 bis unter 3 Jahre;13667;621
2000;01 StB Altstadt ohne Johannstadt;Ausländer;03 bis unter 5 Jahre;7868;177
2000;01 StB Altstadt ohne Johannstadt;Ausländer;05 bis unter 10 Jahre;4953;60
2000;01 StB Altstadt ohne Johannstadt;Ausländer;10 bis unter 20 Jahre;3763;25
2000;01 StB Altstadt ohne Johannstadt;Ausländer;20 Jahre und mehr;5314;16
2000;02 Johannstadt;Deutsche;00 bis unter 1 Jahr;12624;2612
2000;02 Johannstadt;Deutsche;01 bis unter 3 Jahre;93788;4040
2000;02 Johannstadt;Deutsche;03 bis unter 5 Jahre;116355;2515
2000;02 Johannstadt;Deutsche;05 bis unter 10 Jahre;196522;2257
2000;02 Johannstadt;Deutsche;10 bis unter 20 Jahre;507961;2983
2000;02 Johannstadt;Deutsche;20 Jahre und mehr;2557464;7152
2000;02 Johannstadt;Ausländer;00 bis unter 1 Jahr;1465;333
2000;02 Johannstadt;Ausländer;01 bis unter 3 Jahre;7635;353
2000;02 Johannstadt;Ausländer;03 bis unter 5 Jahre;4222;96
2000;02 Johannstadt;Ausländer;05 bis unter 10 Jahre;3619;44
2000;02 Johannstadt;Ausländer;10 bis unter 20 Jahre;4522;27
2000;02 Johannstadt;Ausländer;20 Jahre und mehr;6962;22
2000;03 StB Neustadt ohne Leipziger Vorstadt;Deutsche;00 bis unter 1 Jahr;30110;5763
2000;03 StB Neustadt ohne Leipziger Vorstadt;Deutsche;01 bis unter 3 Jahre;163603;7432
2000;03 StB Neustadt ohne Leipziger Vorstadt;Deutsche;03 bis unter 5 Jahre;164915;3617
2000;03 StB Neustadt ohne Leipziger Vorstadt;Deutsche;05 bis unter 10 Jahre;174416;2104
2000;03 StB Neustadt ohne Leipziger Vorstadt;Deutsche;10 bis unter 20 Jahre;405011;2528
