Jahr;Stadtraum;Heizungsart;Anteil in %
2018;09 Tolkewitz, Seidnitz, Gruna;Einzelraumheizung;0,6
2018;10 StB Leuben;Fernheizung;48,9
2018;10 StB Leuben;Zentralheizung oder Etagenheizung;50,6
2018;10 StB Leuben;Einzelraumheizung;0,6
2018;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Fernheizung;73,3
2018;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Zentralheizung oder Etagenheizung;26,7
2018;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Einzelraumheizung;0
2018;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Fernheizung;29,6
2018;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Zentralheizung oder Etagenheizung;69,7
2018;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Einzelraumheizung;0,7
2018;13 Südvorstadt, Zschertnitz;Fernheizung;63,3
2018;13 Südvorstadt, Zschertnitz;Zentralheizung oder Etagenheizung;34,6
2018;13 Südvorstadt, Zschertnitz;Einzelraumheizung;2,1
2018;14 Mockritz, Coschütz, Plauen;Fernheizung;31,1
2018;14 Mockritz, Coschütz, Plauen;Zentralheizung oder Etagenheizung;66,8
2018;14 Mockritz, Coschütz, Plauen;Einzelraumheizung;2,1
2018;15 Cotta, Löbtau, Naußlitz, Dölzschen;Fernheizung;35,9
2018;15 Cotta, Löbtau, Naußlitz, Dölzschen;Zentralheizung oder Etagenheizung;62,3
2018;15 Cotta, Löbtau, Naußlitz, Dölzschen;Einzelraumheizung;1,8
2018;16 Gorbitz;Fernheizung;73,9
2018;16 Gorbitz;Zentralheizung oder Etagenheizung;26,1
2018;16 Gorbitz;Einzelraumheizung;0
2018;17 Briesnitz und westliche OS;Fernheizung;7,6
2018;17 Briesnitz und westliche OS;Zentralheizung oder Etagenheizung;90,8
2018;17 Briesnitz und westliche OS;Einzelraumheizung;1,6
2018;18 Dresden gesamt;Fernheizung;45,4
2018;18 Dresden gesamt;Zentralheizung oder Etagenheizung;53,5
2018;18 Dresden gesamt;Einzelraumheizung;1,1
2020;01 StB Altstadt ohne Johannstadt;Fernheizung;68,9
2020;01 StB Altstadt ohne Johannstadt;Zentralheizung oder Etagenheizung;29,7
2020;01 StB Altstadt ohne Johannstadt;Einzelraumheizung;1,4
2020;02 Johannstadt;Fernheizung;72,5
2020;02 Johannstadt;Zentralheizung oder Etagenheizung;27,5
2020;02 Johannstadt;Einzelraumheizung;0
2020;03 StB Neustadt ohne Leipziger Vorstadt;Fernheizung;44,5
2020;03 StB Neustadt ohne Leipziger Vorstadt;Zentralheizung oder Etagenheizung;52
