Jahr;Monat;Betriebsart;Tourismus_Betriebe gesamt;Tourismus_Betriebe;Tourismus_Betten gesamt;Tourismus_Betten;Tourismus_Ankünfte;Tourismus_Übernachtungen
2005;12;Jugendherbergen, Hütten und Hostels;8;8;978;978;5638;11327
2005;12;sonstige;7;6;439;379;2290;6193
2006;01;Hotels;69;68;11287;11171;54427;104485
2006;01;Hotels garni;22;22;1843;1834;6727;13538
2006;01;Gasthöfe;18;18;345;336;768;1305
2006;01;Pensionen;34;32;611;572;1631;3706
2006;01;Jugendherbergen, Hütten und Hostels;8;8;978;978;2813;5692
2006;01;sonstige;7;6;439;379;1254;4151
2006;02;Hotels;69;69;11237;11207;54321;109492
2006;02;Hotels garni;24;24;2033;2026;7966;14747
2006;02;Gasthöfe;18;18;345;336;806;1388
2006;02;Pensionen;35;32;676;625;1675;4123
2006;02;Jugendherbergen, Hütten und Hostels;8;8;978;978;2949;7486
2006;02;sonstige;7;6;439;379;1152;3738
2006;03;Hotels;69;69;11245;11215;90136;188307
2006;03;Hotels garni;24;24;2033;2022;14057;29047
2006;03;Gasthöfe;18;18;345;336;1292;2450
2006;03;Pensionen;35;33;676;650;2770;6245
2006;03;Jugendherbergen, Hütten und Hostels;8;8;978;978;5165;12655
2006;03;sonstige;7;6;445;385;1711;5101
2006;04;Hotels;70;70;11552;11522;97060;221695
2006;04;Hotels garni;24;24;2031;2026;15671;34916
2006;04;Gasthöfe;18;18;345;336;1551;3281
2006;04;Pensionen;35;35;676;672;3338;8227
2006;04;Jugendherbergen, Hütten und Hostels;8;8;978;978;7206;16378
2006;04;sonstige;7;7;445;445;1933;6155
2006;05;Hotels;71;71;12236;12227;118499;270990
2006;05;Hotels garni;24;24;2031;2026;19651;44075
2006;05;Gasthöfe;18;18;343;336;2135;4412
2006;05;Pensionen;35;35;684;681;4154;10860
2006;05;Jugendherbergen, Hütten und Hostels;8;8;978;978;8198;20481
2006;05;sonstige;7;7;445;445;2548;8034
2006;06;Hotels;71;71;12240;12231;114751;255197
2006;06;Hotels garni;24;24;2031;2024;18393;40312
2006;06;Gasthöfe;18;18;338;336;2196;4362
2006;06;Pensionen;35;35;691;688;4115;10940
2006;06;Jugendherbergen, Hütten und Hostels;8;8;981;981;8790;20347
2006;06;sonstige;7;7;445;445;2586;8116
2006;07;Hotels;71;71;12311;12169;121902;269130
2006;07;Hotels garni;24;24;2026;2026;19004;39483
2006;07;Gasthöfe;18;18;341;332;2243;4254
2006;07;Pensionen;34;33;681;665;4029;9910
2006;07;Jugendherbergen, Hütten und Hostels;8;8;999;999;9657;22709
2006;07;sonstige;7;7;445;445;2756;7981
2006;08;Hotels;71;71;12375;12358;124941;280295
2006;08;Hotels garni;24;23;2026;2008;19005;39381
2006;08;Gasthöfe;18;18;341;332;2410;4803
2006;08;Pensionen;34;33;692;668;4082;10272
2006;08;Jugendherbergen, Hütten und Hostels;8;8;999;999;8765;20899
2006;08;sonstige;7;7;445;445;2539;8332
2006;09;Hotels;71;71;12444;12361;127326;280839
2006;09;Hotels garni;24;23;2028;2010;20415;44260
