Jahr;Stadtteil zus. (Kriminalität);Stadtteil (Kriminalität);Stadtraum;Stadtbezirk mit zugeordneten Ortschaften;Fälle erfasst (Tatortprinzip);Fälle aufgeklärt;Tatverdächtige insgesamt
2004;12 Radeberger Vorstadt;12 Radeberger Vorstadt;03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;528;197;169
2004;13 Innere Neustadt;13 Innere Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;1080;582;445
2004;14 Leipziger Vorstadt;14 Leipziger Vorstadt;04 Leipziger Vorstadt, Pieschen;StB 1 Neustadt;1246;519;406
2004;15 Albertstadt;15 Albertstadt;03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;467;190;173
2004;21 Pieschen-Süd;21 Pieschen-Süd;04 Leipziger Vorstadt, Pieschen;StB 2 Pieschen;1487;750;600
2004;22 Mickten;22 Mickten;05 Mickten, Kaditz, Trachau;StB 2 Pieschen;1093;462;381
2004;23 Kaditz;23 Kaditz;05 Mickten, Kaditz, Trachau;StB 2 Pieschen;983;603;566
2004;24 Trachau;24 Trachau;05 Mickten, Kaditz, Trachau;StB 2 Pieschen;523;192;199
2004;25 Pieschen-N/Trachenberge;25 Pieschen-N/Trachenberge;04 Leipziger Vorstadt, Pieschen;StB 2 Pieschen;1211;530;470
2004;31 Klotzsche;31 Klotzsche;06 StB Klotzsche und nördliche OS;StB 3 Klotzsche/nördliche Ortschaften;754;268;258
2004;31 Klotzsche;33 Flughafen;06 StB Klotzsche und nördliche OS;StB 3 Klotzsche/nördliche Ortschaften;205;104;107
2004;31 Klotzsche;34 Hellerberge;06 StB Klotzsche und nördliche OS;StB 3 Klotzsche/nördliche Ortschaften;26;22;20
2004;32 Hellerau/Wilschdorf;32 Hellerau/Wilschdorf;06 StB Klotzsche und nördliche OS;StB 3 Klotzsche/nördliche Ortschaften;280;141;124
2004;35 Weixdorf;35 Weixdorf;06 StB Klotzsche und nördliche OS;StB 3 Klotzsche/nördliche Ortschaften;240;106;95
2004;36 Langebrück/Schönborn;36 Langebrück/Schönborn;06 StB Klotzsche und nördliche OS;StB 3 Klotzsche/nördliche Ortschaften;101;50;44
2004;41 Loschwitz/Wachwitz;41 Loschwitz/Wachwitz;07 StB Loschwitz und OS Schönfeld-Weißig;StB 4 Loschwitz/OS Schönfeld-Weißig;340;151;123
