Jahr;Quartal;Monat;Wirtschaftszweig 2-Steller;Auftragseingang insgesamt (in 1000 EUR);Auftragseingang Ausland (in 1000 EUR);Auftragseingang Eurozone (in 1000 EUR);Umsatz insgesamt aus Auftragseingang (in 1000 EUR);Umsatz Ausland aus Auftragseingang (in 1000 EUR);Umsatz Eurozone aus Auftragseingang (in 1000 EUR)
2017;4. Quartal;11;21-Herst. von pharmazeutischen Erzeugnissen;-;-;-;35832;-;-
2017;4. Quartal;11;25-Herst. von Metallerzeugnissen;13985;1523;1077;10661;1320;988
2017;4. Quartal;11;26-Herst. DVgeräten,elektron.+opt. Erzeugnissen;244582;161653;132385;218272;134402;108753
2017;4. Quartal;11;27-Herst. von elektrischen Ausrüstungen;26353;8489;2513;21238;9556;2643
2017;4. Quartal;11;28-Maschinenbau;72526;57837;8102;70396;46179;9087
2017;4. Quartal;11;29-Herst. von Kraftwagen und Kraftwagenteilen;-;-;-;-;-;-
2017;4. Quartal;11;30-Sonstiger Fahrzeugbau;-;-;-;-;-;-
2017;4. Quartal;12;Verarbeitendes Gewerbe gesamt;432001;229878;159555;701575;523556;368549
2017;4. Quartal;12;13-Herst. von Textilien;0;0;0;-;-;-
2017;4. Quartal;12;20-Herst. von chemischen Erzeugnissen;5561;2401;1479;6286;2615;1241
2017;4. Quartal;12;21-Herst. von pharmazeutischen Erzeugnissen;19756;-;-;21110;-;-
2017;4. Quartal;12;25-Herst. von Metallerzeugnissen;10659;1299;959;14140;1209;880
2017;4. Quartal;12;26-Herst. DVgeräten,elektron.+opt. Erzeugnissen;230167;-;-;457345;-;-
2017;4. Quartal;12;27-Herst. von elektrischen Ausrüstungen;25171;6641;2958;25307;9524;1196
2017;4. Quartal;12;28-Maschinenbau;60221;30760;6983;133963;108357;6835
2017;4. Quartal;12;29-Herst. von Kraftwagen und Kraftwagenteilen;-;-;-;-;-;-
2017;4. Quartal;12;30-Sonstiger Fahrzeugbau;-;-;-;-;-;-
2018;1. Quartal;01;Verarbeitendes Gewerbe gesamt;424222;252014;166431;301726;129789;71646
2018;1. Quartal;01;13-Herst. von Textilien;-;-;-;-;-;-
2018;1. Quartal;01;20-Herst. von chemischen Erzeugnissen;6547;3027;2110;6148;2837;2003
2018;1. Quartal;01;21-Herst. von pharmazeutischen Erzeugnissen;23562;-;-;27583;-;-
2018;1. Quartal;01;25-Herst. von Metallerzeugnissen;14019;1626;1179;13495;1490;915
2018;1. Quartal;01;26-Herst. DVgeräten,elektron.+opt. Erzeugnissen;242267;153432;127326;137161;54422;30679
2018;1. Quartal;01;27-Herst. von elektrischen Ausrüstungen;26364;13080;2778;16833;6415;3712
2018;1. Quartal;01;28-Maschinenbau;62404;36836;3051;41442;18107;3202
2018;1. Quartal;01;29-Herst. von Kraftwagen und Kraftwagenteilen;-;-;-;-;-;-
2018;1. Quartal;01;30-Sonstiger Fahrzeugbau;-;-;-;-;-;-
2018;1. Quartal;02;Verarbeitendes Gewerbe gesamt;402611;235108;161628;374430;217416;132468
2018;1. Quartal;02;13-Herst. von Textilien;0;0;0;-;-;-
2018;1. Quartal;02;20-Herst. von chemischen Erzeugnissen;6873;2545;1864;6150;2469;1140
2018;1. Quartal;02;21-Herst. von pharmazeutischen Erzeugnissen;23793;-;-;26269;-;-
2018;1. Quartal;02;25-Herst. von Metallerzeugnissen;12331;1908;1142;10607;1485;1057
2018;1. Quartal;02;26-Herst. DVgeräten,elektron.+opt. Erzeugnissen;235118;157921;126631;196145;118055;96421
2018;1. Quartal;02;27-Herst. von elektrischen Ausrüstungen;25432;8177;917;17683;8297;1633
2018;1. Quartal;02;28-Maschinenbau;45937;22692;3789;62229;44116;4260
2018;1. Quartal;02;29-Herst. von Kraftwagen und Kraftwagenteilen;-;-;-;-;-;-
2018;1. Quartal;02;30-Sonstiger Fahrzeugbau;-;-;-;-;-;-
2018;1. Quartal;03;Verarbeitendes Gewerbe gesamt;447070;264811;169295;512575;346261;232686
