Jahr;Stadtraum;Wegezweck;Anteil Weg nur zu Fuß;Anteil Weg mit Fahrrad;Anteil Weg mit Straßenbahn;Anteil Weg mit Bus (Stadtverk.);Anteil Weg mit Bus (Regionalverk.);Anteil Weg mit S-Bahn/Bahn AG;Anteil Weg mit Motorrad etc.;Anteil Weg als Pkw-Mitfahrer;Anteil Weg als Pkw-Selbstfahrer;Anteil Weg mit sonstigem Verkehrsmittel
2010;04 Leipziger Vorstadt, Pieschen;Weg zur Arbeit;4,1;25,8;11,8;6,6;0,6;5,6;2,9;2,3;38,9;1,3
2010;04 Leipziger Vorstadt, Pieschen;Weg zum Einkaufen;11,5;20;13,6;10,4;0,6;1;0,5;7,4;33,2;1,8
2010;05 Mickten, Kaditz, Trachau;Weg zur Arbeit;4,5;14,8;14,8;8,7;0;2,1;2;0,8;51,7;0,6
2010;05 Mickten, Kaditz, Trachau;Weg zum Einkaufen;4,3;13,1;12,7;13,4;1,1;1,4;0,8;8,5;44,2;0,6
2010;06 StB Klotzsche und nördliche OS;Weg zur Arbeit;5,3;16,7;14,2;4,8;0,5;4,8;1,2;3,6;44,9;4,1
2010;06 StB Klotzsche und nördliche OS;Weg zum Einkaufen;2,9;13,5;11,1;6,8;2,9;2,1;0,6;9,9;49,9;0,2
2010;07 StB Loschwitz und OS Schönfeld-Weißig;Weg zur Arbeit;4,3;13,7;9,5;8,3;2,7;1,8;4,2;2,8;51,2;1,4
2010;07 StB Loschwitz und OS Schönfeld-Weißig;Weg zum Einkaufen;3,4;11,6;10,2;12,7;2,3;0,1;0,9;8,1;50,4;0,4
2010;08 Blasewitz, Striesen;Weg zur Arbeit;2,4;23,8;19,3;9,9;1,3;2,1;1,6;2,3;35,2;2
2010;08 Blasewitz, Striesen;Weg zum Einkaufen;8,9;21,4;15,2;8,9;1,3;0,6;0,4;9;31,7;2,6
2010;09 Tolkewitz, Seidnitz, Gruna;Weg zur Arbeit;1,2;18,6;15,5;8,6;0;1,5;4,9;4,8;44,2;0,8
2010;09 Tolkewitz, Seidnitz, Gruna;Weg zum Einkaufen;10,7;19,6;14,7;12,1;0,5;0,6;1,3;7,6;32,1;0,6
2010;10 StB Leuben;Weg zur Arbeit;3,6;16;16,2;6,7;0,5;4,9;3,4;3,6;45,1;0
2010;10 StB Leuben;Weg zum Einkaufen;5,4;16,2;13,7;9,7;0,5;1,2;1,2;10,4;40,8;0,9
2010;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Weg zur Arbeit;4,9;5,5;26,5;17;1,6;3,9;1,2;7,8;31,7;0
2010;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Weg zum Einkaufen;15,2;10,9;17,6;9,7;0,3;1;1,1;13,3;29,8;1,1
2010;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Weg zur Arbeit;2,5;12,3;9,1;14,1;1,3;6;4,7;5,7;44,4;0
2010;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Weg zum Einkaufen;7,7;16,1;8,9;10,5;0,5;1,3;2,7;11,3;40,8;0,2
2010;13 Südvorstadt, Zschertnitz;Weg zur Arbeit;10,1;21,9;23,9;18,4;0,4;2,7;1,7;1,5;18,4;1
2010;13 Südvorstadt, Zschertnitz;Weg zum Einkaufen;8;17,5;22,1;16,7;1,9;0,8;0,9;5,9;25,7;0,5
2010;14 Mockritz, Coschütz, Plauen;Weg zur Arbeit;0;18,8;15,2;11,6;1,2;2,3;0;6,2;43,1;1,8
2010;14 Mockritz, Coschütz, Plauen;Weg zum Einkaufen;8,4;10,5;14,6;16,9;0,7;1;0,2;7,7;38,4;1,6
2010;15 Cotta, Löbtau, Naußlitz, Dölzschen;Weg zur Arbeit;3,5;18;18,8;14;1,6;2,1;1,2;4,5;34,8;1,4
