Jahr;Stadtraum;Befindlichkeitsart;"Anteil Benotung ""gut""";"Anteil Benotung ""teils/teils""";"Anteil Benotung ""schlecht"""
2014;10 StB Leuben;Gesundheitszustand;44,5;47,9;7,6
2014;10 StB Leuben;Wohlbefinden;58,3;39;2,7
2014;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Gesundheitszustand;30,3;56,4;13,3
2014;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Wohlbefinden;39,8;51,8;8,4
2014;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Gesundheitszustand;48,3;45,2;6,5
2014;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Wohlbefinden;55,2;41,1;3,7
2014;13 Südvorstadt, Zschertnitz;Gesundheitszustand;53;41;6
2014;13 Südvorstadt, Zschertnitz;Wohlbefinden;45,7;52,9;1,4
2014;14 Mockritz, Coschütz, Plauen;Gesundheitszustand;61,7;34,8;3,5
2014;14 Mockritz, Coschütz, Plauen;Wohlbefinden;66,2;31,2;2,5
2014;15 Cotta, Löbtau, Naußlitz, Dölzschen;Gesundheitszustand;63,6;35;1,4
2014;15 Cotta, Löbtau, Naußlitz, Dölzschen;Wohlbefinden;53,5;44,9;1,7
2014;16 Gorbitz;Gesundheitszustand;39,4;50,7;9,9
2014;16 Gorbitz;Wohlbefinden;43,2;52;4,8
2014;17 Briesnitz und westliche OS;Gesundheitszustand;57,7;37,8;4,5
2014;17 Briesnitz und westliche OS;Wohlbefinden;57,6;41;1,4
2014;18 Dresden gesamt;Gesundheitszustand;55;38,7;6,3
2014;18 Dresden gesamt;Wohlbefinden;56,3;40,8;2,9
2016;01 StB Altstadt ohne Johannstadt;Gesundheitszustand;56,8;37,1;6,2
2016;01 StB Altstadt ohne Johannstadt;Wohlbefinden;53,3;39,9;6,7
2016;02 Johannstadt;Gesundheitszustand;65,3;23,7;11
2016;02 Johannstadt;Wohlbefinden;62,5;33,2;4,2
2016;03 StB Neustadt ohne Leipziger Vorstadt;Gesundheitszustand;75,9;21,7;2,4
2016;03 StB Neustadt ohne Leipziger Vorstadt;Wohlbefinden;72,4;24,7;2,9
2016;04 Leipziger Vorstadt, Pieschen;Gesundheitszustand;77,7;20,6;1,7
2016;04 Leipziger Vorstadt, Pieschen;Wohlbefinden;75,8;22,1;2,1
2016;05 Mickten, Kaditz, Trachau;Gesundheitszustand;63,4;24,7;11,8
2016;05 Mickten, Kaditz, Trachau;Wohlbefinden;59,8;33,9;6,3
2016;06 StB Klotzsche und nördliche OS;Gesundheitszustand;74;24,1;1,9
2016;06 StB Klotzsche und nördliche OS;Wohlbefinden;74;25,3;0,7
2016;07 StB Loschwitz und OS Schönfeld-Weißig;Gesundheitszustand;71,6;26,2;2,2
2016;07 StB Loschwitz und OS Schönfeld-Weißig;Wohlbefinden;70,8;27,5;1,7
2016;08 Blasewitz, Striesen;Gesundheitszustand;73,3;24,5;2,2
2016;08 Blasewitz, Striesen;Wohlbefinden;71,2;27,9;0,9
2016;09 Tolkewitz, Seidnitz, Gruna;Gesundheitszustand;60,2;34,2;5,6
2016;09 Tolkewitz, Seidnitz, Gruna;Wohlbefinden;63,1;35;1,9
2016;10 StB Leuben;Gesundheitszustand;60,5;31,8;7,7
2016;10 StB Leuben;Wohlbefinden;61,7;36,4;2
2016;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Gesundheitszustand;43;55,2;1,8
